PartitionKey,RowKey,Timestamp,beginingPinCount,endingPinCount,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,up
Lane 4,20181212800863,12/13/2018 12:45:53 AM,1023,772,815,359,812,180,"","","","","","",3
Lane 4,20181212801254,12/13/2018 12:25:00 AM,1023,0,595,346,608,223,615,130,628,50,"","",0
Lane 4,20181212803182,12/13/2018 12:49:02 AM,1023,893,727,375,728,292,727,201,725,123,725,58,8
Lane 4,20181212803569,12/13/2018 12:40:06 AM,1023,646,241,393,298,221,349,87,"","","","",4
Lane 4,20181212806759,12/13/2018 12:38:43 AM,1023,642,307,377,339,261,368,158,387,76,407,9,3
Lane 4,20181212808168,12/13/2018 12:38:31 AM,1023,641,375,403,405,334,428,232,448,146,466,74,3
Lane 4,20181212810445,12/13/2018 12:35:21 AM,1023,3,442,401,480,183,"","","","","","",2
Lane 4,20181212811828,12/13/2018 12:38:51 AM,1023,642,269,374,331,170,387,23,"","","","",3
Lane 4,20181212814064,12/13/2018 12:35:46 AM,1023,40,605,420,623,318,639,196,653,90,664,12,2
Lane 4,20181212815481,12/13/2018 3:46:37 AM,1023,752,395,340,426,183,"","","","","","",5
Lane 4,20181212815938,12/13/2018 12:41:23 AM,1023,657,387,309,429,145,468,22,"","","","",4
Lane 4,20181212817838,12/13/2018 12:46:41 AM,1023,80,603,296,608,110,"","","","","","",2
Lane 4,20181212820963,12/13/2018 12:48:10 AM,1023,877,770,391,765,294,754,178,751,96,744,19,7
Lane 4,20181212822137,12/13/2018 12:39:55 AM,1023,645,316,332,376,128,"","","","","","",4
Lane 4,20181212824395,12/13/2018 12:35:13 AM,1023,36,602,405,613,338,620,242,627,159,635,88,2
Lane 4,20181212825497,12/13/2018 12:30:50 AM,1023,12,581,352,592,253,601,172,"","","","",2
Lane 4,20181212825785,12/13/2018 12:44:15 AM,1023,763,393,403,416,328,434,220,450,129,463,54,8
Lane 4,20181212827205,12/13/2018 12:28:54 AM,1023,1022,1081,410,1049,334,1024,236,1003,149,984,76,9
